State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
NC,South,South Atlantic,Pender County,37141,37141,Region 20,1/1/2015,7791.0,0.152,3.0,2.7,0.08,0.281,0.269,7.1,0.248,0.655,0.175,0.39,245.4,39.0,0.211,31.0,33.0,72.0,54.97,0.89,0.69,0.87,0.627,0.091,0.255,4.588,0.371,11.071,267.89,74.4,11.87,0.174,0.17,0.795,0.457,55334,0.015,0.688,0.124,135.3,375.7,6.7,70.9,0.17,0.033,23.42,12.83,0.254,0.099,9620.0,0.171,43.0,44949,0.472,3.3,
NC,South,South Atlantic,Perquimans County,37143,37143,Insuff Data,1/1/2014,8837.0,0.201,4.9,2.0,0.1,0.21,0.319,7.447,0.281,0.355,,0.25,281.8,45.5,0.178,22.0,7.0,44.0,54.66,0.83,0.73,0.875,0.554,0.098,0.312,,0.322,,107.16,61.1,11.56,0.0,0.143,0.761,0.352,13563,0.004,1.0,0.143,265.3,359.6,,91.8,0.184,0.005,19.03,,0.211,0.085,8591.0,0.205,15.0,42494,0.506,,
NC,South,South Atlantic,Perquimans County,37143,37143,Insuff Data,1/1/2015,8813.0,0.201,4.9,2.0,0.09,0.21,0.338,7.2,0.265,,,0.25,427.6,40.1,0.185,22.0,7.0,44.0,50.27,0.84,0.75,0.825,0.548,0.092,0.351,5.149,0.36,11.06,132.68,65.6,11.56,0.011,0.171,0.799,0.385,13601,0.008,1.0,0.146,265.3,362.8,,91.7,0.178,0.005,14.06,,0.218,0.091,8269.0,0.205,15.0,42504,0.509,,
NC,South,South Atlantic,Person County,37145,37145,Region 20,1/1/2014,8370.0,0.139,2.3,2.8,0.1,0.27,0.326,7.215,0.295,0.403,,0.25,486.9,48.6,0.172,33.0,33.0,45.0,75.96,0.89,0.65,0.768,0.57,0.097,0.238,,0.369,,348.37,71.9,12.42,0.0,0.14,0.826,0.468,39268,0.01,0.755,0.136,202.7,424.7,9.9,67.6,0.185,0.026,22.22,13.33,0.209,0.074,8304.0,0.15,66.0,42546,0.423,7.78,0.235
NC,South,South Atlantic,Person County,37145,37145,Region 20,1/1/2015,7850.0,0.139,2.3,2.8,0.09,0.27,0.333,7.0,0.29,0.66,,0.308,435.5,47.6,0.179,33.0,36.0,99.0,80.72,0.88,0.69,0.724,0.576,0.088,0.257,4.838,0.393,15.534,307.22,69.6,12.42,0.0,0.143,0.825,0.457,39276,0.009,0.755,0.125,202.7,398.5,8.0,58.0,0.178,0.026,19.37,13.89,0.217,0.076,8770.0,0.15,59.0,42091,0.43,7.4,
NC,South,South Atlantic,Pitt County,37147,37147,Region 20,1/1/2014,7946.0,0.165,3.6,3.2,0.11,0.192,0.357,6.358,0.243,0.565,0.127,0.314,1143.0,29.0,0.169,99.0,54.0,191.0,66.6,0.9,0.68,0.7,0.69,0.093,0.299,,0.446,,,56.4,11.75,0.031,0.228,0.82,0.194,172554,0.018,0.254,0.089,340.0,401.4,10.3,83.7,0.225,0.032,16.93,9.01,0.204,0.072,8833.0,0.16,123.0,39343,0.498,8.1,0.207
NC,South,South Atlantic,Pitt County,37147,37147,Region 20,1/1/2015,7610.0,0.165,3.6,3.2,0.1,0.192,0.371,6.1,0.245,0.61,0.127,0.303,963.2,28.2,0.187,99.0,61.0,337.0,57.26,0.89,0.68,0.73,0.697,0.081,0.311,5.561,0.448,9.852,408.62,58.0,11.75,0.032,0.227,0.834,0.198,174263,0.016,0.254,0.089,340.0,379.6,9.8,82.5,0.215,0.032,15.83,8.96,0.227,0.073,9143.0,0.16,134.0,40940,0.508,7.8,
NC,South,South Atlantic,Polk County,37149,37149,Region 20,1/1/2014,7460.0,0.108,3.9,3.9,0.1,0.189,0.23,8.622,0.258,0.614,0.14,0.304,103.7,27.9,0.199,54.0,39.0,131.0,46.42,0.86,0.67,0.875,0.521,0.076,0.295,,0.374,,121.53,94.6,12.97,0.0,0.137,0.788,0.409,20271,0.017,0.923,0.102,107.5,340.7,,70.4,0.127,0.002,18.52,17.1,0.234,0.093,8199.0,0.153,64.0,41719,0.445,,0.183
NC,South,South Atlantic,Polk County,37149,37149,Region 20,1/1/2015,6747.0,0.108,3.9,3.9,0.09,0.189,0.251,8.0,0.264,0.861,0.14,0.263,157.9,27.5,0.206,54.0,39.0,216.0,49.54,0.85,0.63,0.9,0.544,0.058,0.264,4.214,0.346,24.172,82.88,86.3,12.97,0.0,0.138,0.787,0.395,20411,0.012,0.923,0.11,107.5,312.5,,,0.142,0.002,18.31,21.12,0.24,0.106,8148.0,0.153,64.0,43665,0.489,,
NC,South,South Atlantic,Randolph County,37151,37151,Region 20,1/1/2014,7925.0,0.191,4.0,3.7,0.08,0.234,0.287,7.3,0.288,0.465,0.11,0.379,292.2,53.0,0.217,48.0,26.0,67.0,64.38,0.88,0.64,0.832,0.48,0.096,0.278,,0.35,,151.93,78.6,12.51,0.144,0.142,0.848,0.301,142466,0.03,0.562,0.104,123.3,407.0,7.1,59.8,0.157,0.072,19.26,12.87,0.265,0.098,9145.0,0.179,34.0,41815,0.466,5.05,0.213
NC,South,South Atlantic,Randolph County,37151,37151,Region 20,1/1/2015,7771.0,0.191,4.0,3.7,0.08,0.234,0.298,7.0,0.293,0.738,0.11,0.357,280.8,51.6,0.216,45.0,27.0,104.0,56.14,0.9,0.64,0.842,0.492,0.082,0.287,4.31,0.373,11.161,144.73,74.7,12.51,0.102,0.149,0.853,0.294,142577,0.029,0.562,0.112,123.3,395.9,6.6,47.7,0.154,0.072,17.16,15.23,0.268,0.087,9432.0,0.179,38.0,40896,0.497,4.5,
NC,South,South Atlantic,Richmond County,37153,37153,Region 20,1/1/2014,10344.0,0.267,5.3,5.7,0.1,0.261,0.305,6.109,0.327,0.459,0.079,0.172,442.0,79.6,0.219,43.0,27.0,92.0,103.65,0.86,0.66,0.74,0.482,0.128,0.363,,0.461,,547.59,82.2,12.3,0.016,0.172,0.829,0.233,46627,0.021,0.455,0.127,310.8,531.0,10.7,60.9,0.228,0.05,20.62,19.08,0.274,0.084,9669.0,0.182,28.0,30726,0.632,10.46,0.257
NC,South,South Atlantic,Richmond County,37153,37153,Region 20,1/1/2015,10599.0,0.267,5.3,5.7,0.1,0.261,0.349,5.8,0.33,0.568,0.079,0.216,459.0,75.9,0.214,45.0,28.0,136.0,101.87,0.85,0.69,0.74,0.486,0.108,0.408,5.426,0.473,16.729,518.65,84.1,12.3,0.032,0.175,0.815,0.225,46405,0.02,0.455,0.126,310.8,538.6,8.9,77.1,0.219,0.05,19.66,19.66,0.268,0.082,10568.0,0.182,30.0,32825,0.659,10.5,
NC,South,South Atlantic,Robeson County,37155,37155,Region 20,1/1/2014,11614.0,0.258,4.8,3.7,0.11,0.256,0.407,5.86,0.372,0.218,0.085,0.322,853.8,74.6,0.264,44.0,19.0,98.0,106.49,0.84,0.59,0.79,0.425,0.13,0.478,,0.563,,866.55,100.7,12.08,0.0,0.175,0.824,0.286,135496,0.031,0.626,0.155,354.1,522.2,12.8,121.0,0.235,0.06,37.93,7.45,0.344,0.09,10712.0,0.252,71.0,29965,0.741,23.24,0.295
NC,South,South Atlantic,Robeson County,37155,37155,Region 20,1/1/2015,11259.0,0.258,4.8,3.7,0.11,0.256,0.395,5.5,0.348,0.359,0.085,0.338,842.1,70.7,0.263,45.0,21.0,182.0,106.05,0.86,0.59,0.83,0.446,0.113,0.44,5.22,0.555,11.07,819.09,96.4,12.08,0.011,0.184,0.838,0.281,134841,0.029,0.626,0.156,354.1,525.0,14.0,93.4,0.228,0.06,35.73,11.3,0.337,0.101,10613.0,0.252,74.0,30248,0.723,22.7,
NC,South,South Atlantic,Rockingham County,37157,37157,Region 20,1/1/2014,9229.0,0.244,5.1,4.0,0.1,0.275,0.324,6.374,0.299,0.407,0.157,0.402,446.8,50.2,0.18,42.0,29.0,77.0,103.67,0.88,0.6,0.72,0.517,0.113,0.276,,0.404,,313.24,87.9,12.68,0.151,0.124,0.826,0.395,92720,0.016,0.619,0.118,157.9,444.3,9.5,65.3,0.181,0.115,23.48,17.34,0.219,0.075,8623.0,0.183,44.0,37577,0.487,6.75,0.247
