State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
NC,South,South Atlantic,Alamance County,37001,37001,Region 20,1/1/2014,7123.0,0.192,3.8,3.6,0.09,0.238,0.341,6.532,0.273,0.774,0.123,0.351,459.9,42.4,0.206,55.0,44.0,76.0,48.21,0.89,0.72,0.763,0.578,0.094,0.292,,0.411,,426.16,63.4,12.47,0.019,0.167,0.815,0.282,153920,0.034,0.286,0.124,250.2,372.7,8.3,62.7,0.174,0.113,12.95,10.48,0.259,0.073,8640.0,0.167,46.0,41394,0.444,4.94,0.202
NC,South,South Atlantic,Alamance County,37001,37001,Region 20,1/1/2015,7291.0,0.192,3.8,3.6,0.09,0.238,0.332,6.2,0.257,0.842,0.123,0.291,471.0,40.3,0.203,57.0,45.0,140.0,44.19,0.89,0.72,0.758,0.575,0.08,0.271,4.52,0.408,10.915,420.93,61.2,12.47,0.305,0.167,0.826,0.29,154378,0.033,0.286,0.122,250.2,376.6,7.7,57.7,0.171,0.113,11.51,12.38,0.249,0.088,9050.0,0.167,56.0,43001,0.455,4.6,
NC,South,South Atlantic,Alexander County,37003,37003,Region 20,1/1/2014,7974.0,0.178,4.3,4.6,0.08,0.26,0.272,7.825,0.233,0.114,0.119,0.125,213.0,44.2,0.195,19.0,16.0,18.0,65.93,0.89,0.67,0.77,0.419,0.101,0.25,,0.261,,161.9,91.3,12.87,0.0,0.134,0.831,0.334,36853,0.008,0.728,0.108,97.9,399.7,8.6,50.2,0.156,0.023,20.78,22.74,0.24,0.077,9316.0,0.205,30.0,39655,0.417,6.27,0.273
NC,South,South Atlantic,Alexander County,37003,37003,Region 20,1/1/2015,8079.0,0.178,4.3,4.6,0.08,0.26,0.283,7.4,0.234,0.24,0.119,0.167,206.2,42.1,0.194,19.0,16.0,43.0,58.47,0.91,0.68,0.85,0.433,0.078,0.229,3.997,0.274,17.095,142.45,84.9,12.87,0.0,0.142,0.834,0.353,36930,0.008,0.728,0.106,97.9,395.3,8.0,33.1,0.159,0.023,19.0,24.04,0.239,0.076,9242.0,0.205,32.0,46064,0.449,7.2,
NC,South,South Atlantic,Alleghany County,37005,37005,Insuff Data,1/1/2014,8817.0,0.234,3.9,4.4,0.08,0.271,0.247,7.561,0.314,0.695,0.165,0.417,208.1,53.8,0.272,109.0,18.0,145.0,88.99,0.93,0.72,0.825,0.464,0.106,0.347,,0.361,,,95.6,12.93,0.065,0.15,0.778,0.326,10927,0.02,1.0,0.114,,398.6,,,0.174,0.014,19.48,18.18,0.32,0.131,9585.0,0.21,55.0,34046,0.523,,0.215
NC,South,South Atlantic,Alleghany County,37005,37005,Insuff Data,1/1/2015,7324.0,0.234,3.9,4.4,0.07,0.271,0.235,7.4,0.315,0.71,0.165,0.308,155.6,57.5,0.269,110.0,18.0,229.0,69.97,0.9,0.67,0.875,0.507,0.089,0.326,4.777,0.276,17.388,,97.5,12.93,0.063,0.144,0.789,0.348,10939,0.018,1.0,0.113,,372.1,,,0.164,0.014,18.09,19.38,0.319,0.119,9423.0,0.21,73.0,37086,0.546,,
NC,South,South Atlantic,Anson County,37007,37007,Region 20,1/1/2014,10220.0,0.191,4.0,,0.12,0.198,0.346,6.229,0.29,0.197,,0.176,725.3,60.7,0.174,45.0,24.0,83.0,58.46,0.85,0.66,0.76,0.377,0.119,0.366,,0.576,,455.74,90.3,12.38,0.0,0.157,0.796,0.289,26351,0.009,0.785,0.133,389.2,491.9,10.4,65.4,0.232,0.031,27.28,11.23,0.218,0.063,9060.0,0.159,19.0,32339,0.0,11.23,0.256
NC,South,South Atlantic,Anson County,37007,37007,Region 20,1/1/2015,9599.0,0.191,4.0,,0.11,0.198,0.351,5.9,0.285,0.072,,0.121,694.5,59.1,0.187,42.0,27.0,149.0,59.2,0.86,0.66,0.74,0.406,0.098,0.379,4.484,0.563,10.246,477.16,85.3,12.38,0.0,0.164,0.797,0.292,26161,0.009,0.785,0.136,389.2,478.7,,85.8,0.227,0.031,27.82,12.84,0.233,0.067,8855.0,0.159,23.0,33443,0.693,10.4,
NC,South,South Atlantic,Ashe County,37009,37009,Insuff Data,1/1/2014,7521.0,0.225,4.8,3.5,0.09,0.24,0.225,7.783,0.277,0.377,0.086,0.348,103.2,57.0,0.224,44.0,22.0,95.0,85.42,0.89,0.7,0.81,0.473,0.115,0.31,,0.271,,140.15,97.1,12.96,0.0,0.142,0.779,0.323,27097,0.02,0.849,0.096,30.8,376.3,,,0.157,0.025,22.11,16.18,0.265,0.093,8939.0,0.187,59.0,34080,0.338,,0.224
NC,South,South Atlantic,Ashe County,37009,37009,Insuff Data,1/1/2015,7900.0,0.225,4.8,3.5,0.09,0.24,0.243,7.3,0.275,0.605,0.086,0.333,81.2,56.1,0.242,48.0,26.0,169.0,81.2,0.92,0.67,0.8,0.491,0.102,0.332,4.652,0.29,12.917,107.2,90.8,12.96,0.052,0.142,0.785,0.329,27151,0.018,0.849,0.1,30.8,378.1,,,0.163,0.025,19.13,18.6,0.288,0.096,8718.0,0.187,63.0,35155,0.363,,
NC,South,South Atlantic,Avery County,37011,37011,Region 15,1/1/2014,6812.0,0.216,4.3,2.7,0.08,0.245,0.289,7.841,0.246,1.0,,0.154,56.9,25.9,0.255,28.0,15.0,224.0,113.52,0.83,0.58,0.842,0.534,0.112,0.324,,0.24,,126.53,80.2,13.01,0.155,0.165,0.805,0.279,17635,0.015,0.888,0.105,57.5,379.9,,,0.167,0.0,11.14,18.3,0.301,0.109,9726.0,0.164,68.0,34727,0.482,,0.188
NC,South,South Atlantic,Avery County,37011,37011,Region 15,1/1/2015,7146.0,0.216,4.3,2.7,0.08,0.245,0.257,7.5,0.257,1.0,,0.2,56.7,25.6,0.262,74.0,17.0,356.0,95.0,0.85,0.65,0.911,0.558,0.093,0.316,4.14,0.223,18.713,130.75,77.6,13.01,0.155,0.15,0.796,0.322,17713,0.013,0.888,0.101,57.5,390.4,,,0.168,0.0,10.4,20.0,0.308,0.115,9772.0,0.164,68.0,34933,0.503,,
NC,South,South Atlantic,Beaufort County,37013,37013,Region 20,1/1/2014,9400.0,0.194,3.8,2.4,0.11,0.283,0.343,6.836,0.31,0.304,,0.389,463.4,58.1,0.191,50.0,31.0,75.0,55.42,0.89,0.72,0.76,0.526,0.109,0.303,,0.396,,383.78,80.6,11.61,0.0,0.156,0.812,0.334,47507,0.022,0.656,0.148,265.3,432.3,8.0,56.7,0.191,0.051,22.9,9.16,0.23,0.088,8044.0,,48.0,38256,0.529,6.41,0.145
NC,South,South Atlantic,Beaufort County,37013,37013,Region 20,1/1/2015,8962.0,0.194,3.8,2.4,0.1,0.283,0.319,6.4,0.291,0.552,,0.356,686.2,57.9,0.201,53.0,34.0,118.0,48.79,0.91,0.72,0.72,0.538,0.097,0.326,5.082,0.409,14.524,351.75,82.9,11.61,0.0,0.168,0.842,0.325,47464,0.012,0.656,0.132,265.3,418.1,6.4,64.7,0.192,0.051,20.24,9.67,0.244,0.088,7983.0,,53.0,39043,0.545,5.8,
NC,South,South Atlantic,Bertie County,37015,37015,Region 1,1/1/2014,11207.0,0.275,4.1,2.3,0.13,0.185,0.35,5.735,0.317,0.379,,0.4,847.9,59.2,0.173,24.0,9.0,27.0,74.95,0.85,0.7,0.79,0.407,0.121,0.378,,0.498,,173.74,86.1,11.65,0.0,0.189,0.781,0.292,20653,0.002,0.832,0.148,391.4,498.9,13.0,159.5,0.248,0.047,45.66,,0.212,0.063,8241.0,0.135,58.0,30414,0.678,6.92,
NC,South,South Atlantic,Bertie County,37015,37015,Region 1,1/1/2015,8814.0,0.275,4.1,2.3,0.13,0.185,0.352,5.4,0.311,0.368,,0.308,716.6,57.1,0.174,29.0,10.0,49.0,69.56,0.86,0.71,0.72,0.379,0.109,0.369,5.09,0.471,26.631,143.94,87.5,11.65,0.0,0.2,0.785,0.323,20344,0.002,0.832,0.144,391.4,431.4,15.4,104.2,0.241,0.047,34.93,,0.213,0.067,8913.0,0.135,59.0,31610,0.749,,
NC,South,South Atlantic,Bladen County,37017,37017,Region 20,1/1/2014,11030.0,0.271,4.7,4.2,0.1,0.206,0.361,6.371,0.332,0.385,,0.263,552.6,52.6,0.217,26.0,31.0,37.0,93.14,0.89,0.64,0.75,0.514,0.124,0.35,,0.483,,370.11,96.5,11.98,0.002,0.18,0.81,0.351,34915,0.028,0.912,0.147,288.6,503.9,12.0,76.1,0.224,0.032,36.14,10.8,0.266,0.088,10470.0,0.202,66.0,32766,0.625,11.22,0.316
NC,South,South Atlantic,Bladen County,37017,37017,Region 20,1/1/2015,9807.0,0.271,4.7,4.2,0.1,0.206,0.357,6.0,0.331,0.351,,0.23,518.4,50.1,0.23,26.0,34.0,55.0,89.01,0.89,0.63,0.8,0.531,0.112,0.374,5.863,0.506,11.743,335.64,97.4,11.98,0.002,0.179,0.808,0.336,34843,0.029,0.912,0.149,288.6,455.8,11.8,65.8,0.22,0.032,34.16,13.99,0.279,0.099,10619.0,0.202,77.0,33971,0.654,10.5,
NC,South,South Atlantic,Brunswick County,37019,37019,Region 20,1/1/2014,8349.0,0.175,2.9,3.5,0.08,0.214,0.295,7.479,0.256,0.441,0.147,0.389,339.7,47.6,0.197,43.0,33.0,52.0,54.94,0.9,0.76,0.79,0.596,0.106,0.301,,0.342,,223.92,83.8,11.99,0.017,0.171,0.805,0.284,112257,0.016,0.43,0.119,141.6,364.9,6.9,68.4,0.16,0.048,27.04,18.66,0.233,0.082,8959.0,0.183,62.0,48624,0.477,5.44,0.197
NC,South,South Atlantic,Brunswick County,37019,37019,Region 20,1/1/2015,8131.0,0.175,2.9,3.5,0.08,0.214,0.291,7.2,0.22,0.746,0.147,0.385,250.3,45.2,0.204,39.0,34.0,79.0,56.77,0.91,0.77,0.84,0.592,0.088,0.281,4.598,0.325,9.888,196.07,83.5,11.99,0.246,0.179,0.796,0.279,115301,0.014,0.43,0.113,141.6,360.5,7.0,63.3,0.159,0.048,25.42,21.73,0.242,0.084,9095.0,0.183,69.0,47799,0.489,6.3,
NC,South,South Atlantic,Buncombe County,37021,37021,Region 20,1/1/2014,7026.0,0.139,3.3,3.8,0.08,0.2,0.236,7.325,0.209,0.842,0.136,0.264,316.9,38.8,0.201,126.0,64.0,296.0,43.87,0.92,0.7,0.784,0.687,0.075,0.26,,0.34,,259.2,66.1,13.09,0.002,0.15,0.788,0.207,244490,0.018,0.241,0.095,220.1,351.2,6.8,49.0,0.148,0.086,13.39,12.96,0.24,0.085,8237.0,0.154,130.0,43146,0.423,4.48,0.166
NC,South,South Atlantic,Buncombe County,37021,37021,Region 20,1/1/2015,6737.0,0.139,3.3,3.8,0.08,0.2,0.236,6.9,0.218,0.901,0.136,0.221,314.5,36.6,0.204,127.0,67.0,463.0,40.05,0.92,0.71,0.807,0.687,0.061,0.22,4.458,0.328,13.497,251.36,72.2,13.09,0.002,0.154,0.797,0.199,247912,0.018,0.241,0.1,220.1,333.9,6.3,48.6,0.155,0.086,12.78,12.11,0.246,0.079,8057.0,0.154,140.0,45738,0.447,3.7,
NC,South,South Atlantic,Burke County,37023,37023,Region 20,1/1/2014,9240.0,0.221,4.9,4.8,0.08,0.242,0.288,6.437,0.299,0.429,0.075,0.274,232.1,52.2,0.205,58.0,39.0,144.0,49.39,0.9,0.67,0.85,0.501,0.108,0.272,,0.318,,157.26,83.2,12.94,0.0,0.127,0.845,0.25,90505,0.019,0.427,0.129,102.6,443.6,7.6,65.9,0.174,0.122,18.36,24.21,0.254,0.071,8645.0,0.203,46.0,38581,0.471,5.7,0.213
NC,South,South Atlantic,Burke County,37023,37023,Region 20,1/1/2015,8425.0,0.221,4.9,4.8,0.08,0.242,0.31,6.2,0.292,0.595,0.075,0.302,248.6,50.2,0.207,56.0,41.0,220.0,51.26,0.88,0.65,0.85,0.489,0.089,0.311,4.47,0.386,14.364,163.58,79.9,12.94,0.0,0.133,0.848,0.243,89842,0.021,0.427,0.128,102.6,430.4,8.7,54.8,0.169,0.122,15.76,24.75,0.256,0.072,8931.0,0.203,46.0,36150,0.484,4.1,
NC,South,South Atlantic,Cabarrus County,37025,37025,Region 20,1/1/2014,6556.0,0.155,3.2,3.2,0.09,0.193,0.309,7.54,0.236,0.705,0.142,0.261,396.8,42.4,0.177,89.0,38.0,168.0,61.65,0.87,0.68,0.841,0.646,0.088,0.189,,0.257,,149.66,69.6,12.61,0.001,0.131,0.837,0.38,184498,0.031,0.193,0.099,159.5,359.9,6.4,40.5,0.152,0.058,14.22,14.3,0.226,0.068,9807.0,0.16,62.0,55531,0.361,5.23,0.195
NC,South,South Atlantic,Cabarrus County,37025,37025,Region 20,1/1/2015,6053.0,0.155,3.2,3.2,0.09,0.193,0.293,7.3,0.238,0.795,0.142,0.25,391.3,39.9,0.176,92.0,42.0,239.0,61.02,0.9,0.68,0.856,0.652,0.074,0.17,4.194,0.263,11.057,122.95,64.2,12.61,0.001,0.147,0.828,0.387,187226,0.027,0.193,0.096,159.5,346.2,5.6,34.7,0.147,0.058,11.85,12.42,0.222,0.076,9667.0,0.16,68.0,55046,0.356,5.1,
NC,South,South Atlantic,Caldwell County,37027,37027,Region 20,1/1/2014,8966.0,0.211,4.2,3.8,0.09,0.225,0.295,6.115,0.286,0.407,0.091,0.375,328.9,54.1,0.191,44.0,28.0,29.0,65.44,0.88,0.71,0.81,0.508,0.114,0.286,,0.32,,161.97,78.6,12.94,0.0,0.128,0.855,0.275,81930,0.01,0.344,0.116,71.3,434.6,7.7,56.8,0.172,0.157,17.53,20.51,0.239,0.06,9101.0,0.173,37.0,35127,0.487,4.91,0.224
NC,South,South Atlantic,Caldwell County,37027,37027,Region 20,1/1/2015,9239.0,0.211,4.2,3.8,0.09,0.225,0.293,5.8,0.262,0.656,0.091,0.359,238.0,52.0,0.184,44.0,29.0,60.0,59.36,0.88,0.7,0.85,0.522,0.091,0.254,4.905,0.337,13.182,154.6,80.4,12.94,0.0,0.134,0.857,0.281,81990,0.008,0.344,0.128,71.3,452.0,8.6,59.6,0.172,0.157,16.69,20.17,0.227,0.063,9043.0,0.173,38.0,34811,0.495,5.4,
NC,South,South Atlantic,Camden County,37029,37029,Region 1,1/1/2014,5064.0,0.203,4.8,2.2,0.08,0.172,0.302,8.597,0.241,0.478,,0.0,179.7,25.7,0.159,20.0,,40.0,69.06,0.86,0.72,0.925,0.687,0.078,0.145,,0.207,,63.01,65.9,11.62,0.0,0.121,0.869,0.49,10090,0.011,0.995,0.11,162.7,270.3,,,0.124,0.01,16.67,15.16,0.188,0.09,8796.0,,,53563,0.24,,0.096
NC,South,South Atlantic,Camden County,37029,37029,Region 1,1/1/2015,6664.0,0.203,4.8,2.2,0.08,0.172,0.313,8.4,0.248,0.456,,0.0,158.6,23.6,0.155,10.0,,59.0,57.13,0.82,0.69,0.875,0.705,0.076,0.139,3.689,0.23,10.902,82.78,48.2,11.62,0.0,0.137,0.852,0.494,10187,0.018,0.995,0.112,162.7,317.5,,,0.122,0.01,17.47,14.56,0.183,0.088,9044.0,,,60537,0.237,,
NC,South,South Atlantic,Carteret County,37031,37031,Region 20,1/1/2014,8072.0,0.176,4.3,3.4,0.07,0.214,0.29,7.578,0.304,0.766,0.21,0.341,301.3,38.7,0.19,73.0,68.0,71.0,61.66,0.86,0.73,0.812,0.636,0.086,0.264,,0.378,,295.17,80.6,11.63,0.082,0.157,0.792,0.304,67632,0.011,0.326,0.113,95.3,392.4,5.9,46.0,0.144,0.07,19.11,19.11,0.225,0.079,8759.0,0.152,80.0,48930,0.318,3.55,0.163
NC,South,South Atlantic,Carteret County,37031,37031,Region 20,1/1/2015,7985.0,0.176,4.3,3.4,0.07,0.214,0.281,7.2,0.297,0.882,0.21,0.354,316.4,35.6,0.204,62.0,70.0,120.0,44.14,0.87,0.72,0.821,0.65,0.074,0.241,4.281,0.395,14.934,306.21,81.4,11.63,0.067,0.159,0.803,0.308,68434,0.013,0.326,0.114,95.3,373.1,6.3,53.7,0.15,0.07,15.43,18.47,0.241,0.086,9161.0,0.152,86.0,46227,0.349,3.5,
NC,South,South Atlantic,Caswell County,37033,37033,Insuff Data,1/1/2014,7738.0,0.205,4.7,4.6,0.1,0.358,0.325,6.609,0.279,0.322,,0.208,324.7,37.9,0.183,4.0,12.0,28.0,75.92,0.9,0.72,0.76,0.465,0.097,0.306,,0.437,,213.66,86.4,12.54,0.774,0.162,0.812,0.528,23217,0.007,0.992,0.14,228.2,404.5,,69.9,0.197,0.061,21.57,11.98,0.22,0.076,9026.0,0.172,65.0,39615,0.551,,0.257
NC,South,South Atlantic,Caswell County,37033,37033,Insuff Data,1/1/2015,9328.0,0.205,4.7,4.6,0.1,0.358,0.339,6.3,0.295,0.439,,0.3,344.6,36.8,0.187,9.0,13.0,39.0,56.31,0.89,0.7,0.78,0.451,0.082,0.332,4.942,0.401,14.214,229.78,93.2,12.54,0.774,0.16,0.809,0.526,23190,0.009,0.992,0.133,228.2,445.8,13.3,89.5,0.193,0.061,22.3,12.66,0.222,0.082,9069.0,0.172,95.0,37122,0.591,,
NC,South,South Atlantic,Catawba County,37035,37035,Region 20,1/1/2014,8388.0,0.182,3.8,3.7,0.09,0.225,0.284,6.817,0.284,0.404,0.126,0.408,372.3,50.3,0.195,66.0,47.0,131.0,41.75,0.88,0.65,0.842,0.562,0.11,0.289,,0.317,,340.65,77.8,12.83,0.0,0.126,0.875,0.23,154339,0.031,0.303,0.101,138.6,415.8,7.0,65.3,0.167,0.099,18.56,15.36,0.244,0.072,8377.0,0.184,98.0,42080,0.435,6.6,0.209
NC,South,South Atlantic,Catawba County,37035,37035,Region 20,1/1/2015,8035.0,0.182,3.8,3.7,0.09,0.225,0.285,6.6,0.295,0.62,0.126,0.392,360.2,49.5,0.193,67.0,48.0,192.0,39.82,0.9,0.67,0.87,0.565,0.09,0.249,4.196,0.328,14.384,307.59,77.8,12.83,0.0,0.128,0.861,0.24,154810,0.031,0.303,0.114,138.6,403.3,7.3,56.9,0.163,0.099,16.76,16.94,0.243,0.067,8692.0,0.184,107.0,43777,0.453,7.2,
NC,South,South Atlantic,Chatham County,37037,37037,Region 20,1/1/2014,5967.0,0.194,4.5,3.6,0.08,0.204,0.257,8.259,0.212,0.545,0.172,0.306,238.3,42.4,0.192,45.0,22.0,73.0,44.85,0.92,0.69,0.755,0.609,0.074,0.203,,0.258,,178.01,66.2,12.34,0.092,0.153,0.758,0.408,65976,0.044,0.659,0.098,182.5,290.6,7.3,52.9,0.128,0.035,24.04,6.19,0.227,0.101,8065.0,0.199,30.0,55371,0.383,7.14,0.178
NC,South,South Atlantic,Chatham County,37037,37037,Region 20,1/1/2015,5729.0,0.194,4.5,3.6,0.08,0.204,0.256,8.1,0.226,0.67,0.172,0.289,215.2,38.3,0.195,100.0,21.0,97.0,39.06,0.91,0.71,0.821,0.616,0.055,0.219,4.552,0.27,10.761,175.45,59.1,12.34,0.038,0.161,0.76,0.41,66817,0.041,0.659,0.105,182.5,277.2,7.2,37.9,0.126,0.035,17.62,8.24,0.232,0.094,8134.0,0.199,39.0,56981,0.382,5.2,
NC,South,South Atlantic,Cherokee County,37039,37039,Region 15,1/1/2014,8521.0,0.214,4.4,3.1,0.1,0.251,0.275,8.068,0.301,0.988,0.091,0.269,125.0,45.7,0.216,44.0,33.0,106.0,48.77,0.87,0.62,0.86,0.579,0.128,0.376,,0.257,,206.74,94.4,13.43,0.222,0.117,0.851,0.222,26992,0.007,1.0,0.136,60.1,372.0,12.0,60.6,0.155,0.001,18.05,31.33,0.257,0.094,8467.0,0.181,67.0,31370,0.508,5.31,0.248
NC,South,South Atlantic,Cherokee County,37039,37039,Region 15,1/1/2015,9921.0,0.214,4.4,3.1,0.1,0.251,0.289,7.6,0.312,0.986,0.091,0.269,144.5,44.9,0.216,41.0,33.0,143.0,46.65,0.79,0.66,0.89,0.608,0.106,0.343,4.229,0.259,13.708,209.94,109.1,13.43,0.0,0.111,0.847,0.225,27218,0.005,1.0,0.136,60.1,435.6,,53.4,0.16,0.001,18.87,34.07,0.254,0.102,8026.0,0.181,70.0,34476,0.522,6.1,
NC,South,South Atlantic,Chowan County,37041,37041,Insuff Data,1/1/2014,7213.0,0.231,4.0,3.8,0.12,0.299,0.3,6.0,0.292,0.298,,0.429,471.3,55.2,0.191,74.0,33.0,53.0,68.6,0.86,0.71,0.775,0.472,0.104,0.318,,0.465,,276.95,74.0,11.56,0.0,0.174,0.738,0.348,14772,0.014,0.676,0.14,197.0,386.2,,,0.221,0.074,18.35,,0.234,0.08,8394.0,0.367,47.0,37458,0.009,,0.199
NC,South,South Atlantic,Chowan County,37041,37041,Insuff Data,1/1/2015,7493.0,0.231,4.0,3.8,0.12,0.299,0.316,5.7,0.29,0.559,,0.4,575.4,54.7,0.182,81.0,34.0,95.0,58.82,0.87,0.69,0.775,0.537,0.095,0.361,5.44,0.455,15.57,261.31,64.7,11.56,0.0,0.218,0.832,0.391,14726,0.007,0.676,0.142,197.0,380.5,,,0.212,0.074,17.32,,0.224,0.073,7628.0,0.367,54.0,39143,0.537,,
NC,South,South Atlantic,Clay County,37043,37043,Region 24,1/1/2014,9463.0,0.184,3.9,5.2,0.06,0.207,0.258,7.951,0.292,0.918,,0.071,66.3,39.3,0.218,47.0,56.0,47.0,30.02,0.93,0.67,0.875,0.549,0.096,0.331,,0.222,,156.72,97.9,13.37,0.048,0.184,0.884,0.228,10618,0.008,1.0,0.111,104.9,397.2,,,0.153,0.016,22.38,26.57,0.257,0.098,8019.0,0.252,94.0,36871,0.46,,0.173
NC,South,South Atlantic,Clay County,37043,37043,Region 24,1/1/2015,8462.0,0.184,3.9,5.2,0.07,0.207,0.264,7.6,0.293,0.938,,0.071,131.9,33.8,0.224,47.0,66.0,47.0,44.79,0.89,0.63,0.875,0.486,0.08,0.329,4.641,0.297,14.127,181.39,106.1,13.37,0.049,0.179,0.902,0.211,10584,0.006,1.0,0.112,104.9,367.0,,,0.157,0.016,27.3,28.66,0.263,0.104,7521.0,0.252,94.0,37078,0.483,,
NC,South,South Atlantic,Cleveland County,37045,37045,Region 20,1/1/2014,9594.0,0.194,4.3,5.0,0.1,0.243,0.302,6.708,0.313,0.465,0.096,0.261,518.0,54.9,0.18,51.0,36.0,74.0,59.78,0.9,0.64,0.73,0.538,0.104,0.356,,0.408,,214.5,90.4,12.83,0.0,0.171,0.859,0.309,97474,0.005,0.558,0.136,207.7,458.9,9.4,60.8,0.195,0.056,20.21,15.81,0.223,0.067,8843.0,0.185,65.0,38265,0.503,8.64,0.203
NC,South,South Atlantic,Cleveland County,37045,37045,Region 20,1/1/2015,9767.0,0.194,4.3,5.0,0.1,0.243,0.292,6.4,0.301,0.644,0.096,0.274,510.9,52.9,0.182,50.0,37.0,125.0,54.82,0.9,0.65,0.78,0.564,0.089,0.31,4.969,0.398,19.082,220.56,85.6,12.83,0.107,0.175,0.861,0.297,97047,0.006,0.558,0.125,207.7,476.4,9.7,70.3,0.19,0.056,17.84,16.81,0.226,0.068,9085.0,0.185,70.0,40528,0.542,6.8,
NC,South,South Atlantic,Columbus County,37047,37047,Region 20,1/1/2014,12108.0,0.286,5.3,4.5,0.12,0.23,0.321,6.642,0.283,0.303,,0.383,655.0,60.8,0.213,40.0,21.0,89.0,77.29,0.91,0.67,0.809,0.562,0.126,0.35,,0.447,,449.91,109.4,12.0,0.123,0.175,0.837,0.325,57638,0.014,0.806,0.132,333.9,542.5,12.0,114.2,0.22,0.014,41.3,19.0,0.26,0.097,10546.0,0.197,57.0,33765,0.603,14.7,0.314
NC,South,South Atlantic,Columbus County,37047,37047,Region 20,1/1/2015,11337.0,0.286,5.3,4.5,0.12,0.23,0.315,6.3,0.28,0.401,,0.339,445.9,57.1,0.213,38.0,21.0,162.0,79.07,0.91,0.68,0.814,0.567,0.103,0.383,5.862,0.447,9.889,395.51,105.9,12.0,0.012,0.19,0.86,0.336,57246,0.011,0.806,0.137,333.9,543.1,12.4,82.1,0.214,0.014,39.53,20.76,0.262,0.093,10605.0,0.197,65.0,35026,0.601,12.9,
NC,South,South Atlantic,Craven County,37049,37049,Region 20,1/1/2014,7777.0,0.145,3.5,3.2,0.09,0.221,0.319,6.798,0.294,0.775,0.119,0.286,773.0,62.1,0.187,66.0,52.0,133.0,47.78,0.9,0.81,0.81,0.627,0.097,0.259,,0.353,,329.61,64.7,11.7,0.0,0.156,0.773,0.251,104770,0.017,0.277,0.122,341.0,377.4,7.5,88.7,0.187,0.062,14.54,13.81,0.232,0.076,8635.0,0.139,69.0,47087,0.092,6.83,0.192
NC,South,South Atlantic,Craven County,37049,37049,Region 20,1/1/2015,7461.0,0.145,3.5,3.2,0.08,0.221,0.304,6.5,0.276,0.813,0.119,0.325,510.6,59.9,0.181,68.0,56.0,181.0,41.7,0.91,0.82,0.86,0.619,0.09,0.262,4.314,0.367,11.931,348.23,63.4,11.7,0.0,0.15,0.779,0.267,104489,0.019,0.277,0.108,341.0,370.4,8.4,76.0,0.181,0.062,12.97,11.99,0.224,0.073,9180.0,0.139,74.0,45022,0.411,6.2,
NC,South,South Atlantic,Cumberland County,37051,37051,Region 20,1/1/2014,8956.0,0.175,4.4,4.0,0.1,0.221,0.338,5.799,0.303,0.677,0.113,0.352,1123.8,54.1,0.164,76.0,83.0,169.0,62.29,0.82,0.58,0.78,0.693,0.103,0.254,,0.436,,554.22,62.0,12.09,0.032,0.166,0.819,0.245,324049,0.014,0.134,0.12,450.7,443.4,11.0,88.5,0.203,0.128,18.66,10.3,0.211,0.06,8886.0,0.148,138.0,45110,0.468,9.52,0.219
NC,South,South Atlantic,Cumberland County,37051,37051,Region 20,1/1/2015,8995.0,0.175,4.4,4.0,0.1,0.221,0.311,5.3,0.283,0.826,0.113,0.344,1106.9,51.9,0.171,73.0,91.0,262.0,59.82,0.83,0.62,0.81,0.699,0.09,0.274,4.213,0.431,9.073,537.99,67.9,12.09,0.015,0.164,0.826,0.239,325871,0.015,0.134,0.111,450.7,448.7,10.4,81.9,0.205,0.128,17.62,11.93,0.214,0.072,9008.0,0.148,145.0,44038,0.478,10.1,
NC,South,South Atlantic,Currituck County,37053,37053,Region 1,1/1/2014,7275.0,,3.9,,0.07,0.264,0.292,8.732,0.259,0.678,0.274,0.35,275.5,33.5,0.177,17.0,16.0,37.0,70.05,0.88,0.63,0.8,0.587,0.069,0.202,,0.265,,207.24,78.2,11.6,0.0,0.142,0.85,0.571,24077,0.007,0.983,0.113,114.6,378.2,12.4,75.0,0.108,0.028,24.33,9.98,0.208,0.098,9404.0,0.19,8.0,54822,0.251,,
